rep,dims,norm,model,hidden,test_acc,time_sec,avg_spikes
T,16,none,ANN,[16],0.5571428537368774,7.9086620807647705,
T,16,none,SNN,[16],0.5928571224212646,20.53422236442566,1.6514285714285715
T,16,zscore,ANN,[16],0.5714285969734192,0.9498043060302734,
T,16,zscore,SNN,[16],0.5785714387893677,23.022372722625732,1.492
T,32,none,ANN,[32],0.5357142686843872,0.6184673309326172,
T,32,none,SNN,[32],0.5357142686843872,25.577434062957764,2.435142857142857
T,32,zscore,ANN,[32],0.5428571701049805,1.297492504119873,
T,32,zscore,SNN,[32],0.5357142686843872,17.588045835494995,1.9008571428571428
FOURIER,16,none,ANN,[16],0.7785714268684387,1.4254281520843506,
FOURIER,16,none,SNN,[16],0.7214285731315613,27.383296251296997,2.144285714285714
FOURIER,16,zscore,ANN,[16],0.7142857313156128,0.7341091632843018,
FOURIER,16,zscore,SNN,[16],0.7571428418159485,23.53013849258423,2.276
FOURIER,32,none,ANN,[32],0.7928571701049805,1.3339483737945557,
FOURIER,32,none,SNN,[32],0.7642857432365417,13.062138080596924,2.5902857142857143
FOURIER,32,zscore,ANN,[32],0.8142856955528259,0.6009335517883301,
FOURIER,32,zscore,SNN,[32],0.7642857432365417,25.052414894104004,3.963142857142857
WAVELET_STATS,16,none,ANN,[16],0.6642857193946838,0.7898914813995361,
WAVELET_STATS,16,none,SNN,[16],0.6785714030265808,20.578277587890625,3.2194285714285713
WAVELET_STATS,16,zscore,ANN,[16],0.8357142806053162,1.3287017345428467,
WAVELET_STATS,16,zscore,SNN,[16],0.7214285731315613,29.906529188156128,3.196285714285714
WAVELET_STATS,32,none,ANN,[32],0.8642857074737549,1.628152847290039,
WAVELET_STATS,32,none,SNN,[32],0.8357142806053162,24.961485624313354,5.777428571428572
WAVELET_STATS,32,zscore,ANN,[32],0.8928571343421936,0.8133113384246826,
WAVELET_STATS,32,zscore,SNN,[32],0.8285714387893677,36.843329429626465,8.259428571428572
